序号,题名,作者,来源,发表时间,数据库,被引,下载
1115,碳金融全球布局与中国的对策,刘倩 王遥,中国人口.资源与环境,2010-08-15,期刊,57,2678
1116,国外低碳经济研究动向分析,倪外 曾刚,经济地理,2010-08-26,期刊,79,4628
1117,东亚产业关联的研究方法与现状——一个国际/国家间投入产出模型的综述,李晓 张建平,经济研究,2010-04-20,期刊,37,3797
1118,金融危机中的信息机制:一个新的视角,陈雨露 马勇 李濛,金融研究,2010-03-25,期刊,46,2326
1119,机构投资者与公司价值关系研究——来自上市公司要约收购的证据,龙振海,南开管理评论,2010-08-08,期刊,58,1690
1120,基于防范财政风险视角的中国政府会计改革探讨,肖鹏,会计研究,2010-06-15,期刊,59,2183
1121,中国省区城镇化的核心驱动力演变与过程模型,曹广忠 刘涛,中国软科学,2010-09-28,期刊,73,2515
1122,中国农业能源消费碳排放因素分解实证分析——基于LMDI模型,李国志 李宗植,农业技术经济,2010-10-26,期刊,116,1771
1123,我国货币流动性与通货膨胀的定量研究——基于时变参数模型的实证,李占风 陈妤,数量经济技术经济研究,2010-08-05,期刊,41,1683
1124,新会计准则对现金股利和会计盈余关系影响的研究,娄芳 李玉博 原红旗,管理世界,2010-01-15,期刊,62,4288
1125,政治关系如何影响公司价值:融资约束与行业竞争的证据,徐龙炳 李科,财经研究,2010-10-03,期刊,65,1963
1126,人力资本、研发投入与对外直接投资的逆向技术溢出,李梅,世界经济研究,2010-10-25,期刊,79,1753
1127,“十二五”时期农业和农村发展面临的挑战与选择,农业部农村经济研究中心分析研究小组 宋洪远 张红奎 方华 张恒春 赵海,中国农村经济,2010-08-30,期刊,40,1688
1128,关于科技金融理论、实践与政策的思考,房汉廷,中国科技论坛,2010-11-05,期刊,235,4540
1129,激进股利政策的影响因素及其经济后果,陆正飞 王春飞 王鹏,金融研究,2010-05-25,期刊,38,3910
1130,国有公司的信贷优惠:信贷干预还是隐性担保?——基于信用贷款的实证检验,袁淳 荆新 廖冠民,会计研究,2010-08-15,期刊,55,1726
1131,战略委员会与上市公司过度投资行为,覃家琦,金融研究,2010-05-25,期刊,43,1805
1132,中国上市公司收购兼并的市场预期绩效实现了吗?,翟进步 贾宁 李丹,金融研究,2010-05-25,期刊,43,2511
1133,中国城镇化进程、面临问题及其总体布局,马晓河 胡拥军,改革,2010-10-15,期刊,140,7385
1134,中国城镇化的若干重大问题与未来总体战略构想,马晓河 胡拥军,农业经济问题,2010-11-23,期刊,47,1853
1135,中国战略石油储备的最优规模,林伯强 杜立民,世界经济,2010-08-10,期刊,33,1853
1136,发展中大国人力资本综合优势与经济增长——基于异质性与适应性视角的研究,欧阳峣 刘智勇,中国工业经济,2010-11-17,期刊,41,1332
1137,外资技术转移与内资经济增长质量——基于中国区域面板数据的检验,沈坤荣 傅元海,中国工业经济,2010-11-17,期刊,35,1709
1138,外汇储备币种结构管理:国际研究综述,徐永林 张志超,世界经济,2010-09-10,期刊,29,1687
1139,政府会计信息有用性及需求情况调查报告,赵西卜 王建英 王彦 曹越,会计研究,2010-09-15,期刊,32,2856
1140,环境约束下中国区域工业技术效率与生产率及其影响因素实证研究,王兵 王丽,南方经济,2010-11-15,期刊,102,1466
1141,“土地财政”规模估算及影响因素研究,杨圆圆,财贸经济,2010-10-10,期刊,101,2132
1142,纳入公平偏好的经济学研究:理论与实证,韦倩,经济研究,2010-09-20,期刊,33,2277
1143,资源禀赋、官员交流与经济增长,杨海生 罗党论 陈少凌,管理世界,2010-05-15,期刊,60,2747
1144,退休会影响健康吗?,雷晓燕 谭力 赵耀辉,经济学(季刊),2010-07-31,期刊,38,2604
1145,经济增长与农村反贫困,夏庆杰 宋丽娜 Simon Appleton,经济学(季刊),2010-04-30,期刊,35,2035
1146,董事会治理研究的理论根源及研究脉络评析,李维安 牛建波 宋笑扬,南开管理评论,2009-02-08,期刊,118,3737
1147,信息披露、信息中介与企业过度投资,张纯 吕伟,会计研究,2009-01-15,期刊,240,5033
1148,人民币汇率变动与通货膨胀动态走势,张成思,国际金融研究,2009-05-12,期刊,100,4342
1149,习惯形成下的农户缓冲储备行为,杭斌,经济研究,2009-01-20,期刊,119,2344
1150,企业家社会资本与公司绩效关系研究——基于中国制造业上市公司的实证研究,孙俊华 陈传明,南开管理评论,2009-04-08,期刊,177,3753
1151,开放式创新促进创新绩效的机理研究,陈钰芬 陈劲,科研管理,2009-07-20,期刊,197,4219
1152,供应链伙伴关系间信任与关系承诺对信息共享与运营绩效的影响,叶飞 徐学军,系统工程理论与实践,2009-08-15,期刊,168,3680
1153,建设信息时代的智能电网,钟金 郑睿敏 杨卫红 吴复立,电网技术,2009-07-05,期刊,194,2501
1154,旅游产业与区域经济的耦合协调度研究——以湖南省为例,生延超 钟志平,旅游学刊,2009-08-06,期刊,221,3946
1155,领导——部属交换、内部人身份认知与组织公民行为——基于本土家族企业视角的经验研究,汪林 储小平 倪婧,管理世界,2009-01-15,期刊,139,5259
1156,企业债的信用价差及其动态过程研究,冯宗宪 郭建伟 孙克,金融研究,2009-03-25,期刊,88,2183
1157,市场竞争、技术溢出与内资企业R&D效率——基于行业层面的实证研究,沈坤荣 孙文杰,管理世界,2009-01-15,期刊,116,4425
1158,中国能源消费、经济增长与能源效率——基于1980～2007年的实证分析,曾胜 黄登仕,数量经济技术经济研究,2009-08-05,期刊,91,4014
1159,北京山区沟域经济发展的空间组织模式,张义丰 贾大猛 谭杰 张宏业 宋思雨 孙瑞峰,地理学报,2009-10-15,期刊,72,1689
1160,基于引力模型的江苏区域经济联系强度与方向,孟德友 陆玉麒,地理科学进展,2009-09-15,期刊,161,2928
1161,Copula函数度量我国商业银行资产组合信用风险的实证研究,白保中 宋逢明 朱世武,金融研究,2009-04-25,期刊,76,4094
1162,中国金融监管指标体系构建研究,叶永刚 张培,金融研究,2009-04-25,期刊,79,4071
1163,影响农民专业合作社成长的因素分析——基于浙江省部分农民专业合作社的调查,郭红东 楼栋 胡卓红 林迪,中国农村经济,2009-08-30,期刊,140,2876
1164,智能电网热点问题探讨,王明俊,电网技术,2009-10-05,期刊,113,2244
1165,我国上市公司CFO薪酬与盈余质量的相关性研究,毛洪涛 沈鹏,南开管理评论,2009-10-08,期刊,85,2755
1166,制度环境、公司治理对企业竞争优势的影响研究——基于中国上市公司的经验证据,周建 方刚 刘小元,南开管理评论,2009-10-08,期刊,100,2797
1167,基于企业社会责任的管理会计框架重构,冯巧根,会计研究,2009-08-15,期刊,66,4382
1168,商业信用的提供:来自上海市中小企业的证据,徐晓萍 李猛,金融研究,2009-06-25,期刊,85,2465
1169,以住房市场为载体的货币政策传导机制研究——SVAR模型的一个应用,王松涛 刘洪玉,数量经济技术经济研究,2009-10-05,期刊,83,2356
1170,当前农地流转的基本特征及影响因素分析,黎霆 赵阳 辛贤,中国农村经济,2009-10-30,期刊,125,2535
1171,美国次贷危机的信用扩张过度的金融分析,易宪容,国际金融研究,2009-12-12,期刊,82,1618
1172,制度环境、企业能力与OEM企业升级战略——东菱凯琴与佳士科技的比较案例研究,毛蕴诗 姜岳新 莫伟杰,管理世界,2009-06-15,期刊,93,3967
1173,网络口碑的价值——基于在线餐馆点评的实证研究,卢向华 冯越,管理世界,2009-07-15,期刊,132,4660
1174,背景风险与居民风险金融资产投资,何兴强 史卫 周开国,经济研究,2009-12-20,期刊,62,2049
1175,我国银行制度的变迁与国有企业预算约束的硬化——来自1999～2007年国有上市公司的证据,吴军 白云霞,金融研究,2009-10-25,期刊,71,1579
1176,区域科技型中小企业自主创新金融支持体系研究——基于面板数据单位根和协整的分析,刘降斌 李艳梅,金融研究,2008-12-25,期刊,109,3639
1177,战略创业与家族企业创业精神的传承——基于百年老字号李锦记的案例研究,李新春 何轩 陈文婷,管理世界,2008-10-15,期刊,121,8643
1178,投资者保护、控制权私利与金字塔结构——以格林柯尔为例,刘启亮 李增泉 姚易伟,管理世界,2008-12-15,期刊,153,4830
1179,外商直接投资对内资企业效率的影响和渠道,路江涌,经济研究,2008-06-20,期刊,160,3587
1180,定向增发新股折扣率的影响因素及其与公司短期股价关系的实证研究——来自中国上市公司的经验证据,章卫东 李德忠,会计研究,2008-09-15,期刊,219,4148
1181,证券分析师VS统计模型:证券分析师盈余预测的相对准确性及其决定因素,岳衡 林小驰,会计研究,2008-08-15,期刊,168,3757
1182,市场分割下的中国全要素能源效率:基于超效率DEA方法的经验分析,师博 沈坤荣,世界经济,2008-09-10,期刊,280,3044
1183,北京生产性服务业与制造业的关联及空间分布,邱灵 申玉铭 任旺兵,地理学报,2008-12-15,期刊,142,3422
1184,中国通货膨胀是工资成本推动型吗?——基于超额工资增长率的实证研究,范志勇,经济研究,2008-08-20,期刊,139,3467
1185,FDI对国内企业技术创新影响的理论与实证研究,范承泽 胡一帆 郑红亮,经济研究,2008-01-20,期刊,215,4526
1186,服务全球化的发展趋势和理论分析,江小涓,经济研究,2008-02-20,期刊,190,4023
1187,定向增发“盛宴”背后的利益输送:现象、理论根源与制度成因——基于驰宏锌锗的案例研究,朱红军 何贤杰 陈信元,管理世界,2008-06-15,期刊,262,6712
1188,会计信息透明度与资源配置效率,周中胜 陈汉文,会计研究,2008-12-15,期刊,168,4714
1189,中国可持续增长的机制:证据、理论和政策,中国经济增长与宏观稳定课题组 张平 刘霞辉 张晓晶 陈昌兵,经济研究,2008-10-20,期刊,90,3985
1190,我国省对县(市)一般性转移支付的绩效评价——基于DEA二次相对效益模型的研究,伏润民 常斌 缪小林,经济研究,2008-11-20,期刊,107,3482
1191,低碳经济:人类经济发展方式的新变革,鲍健强 苗阳 陈锋,中国工业经济,2008-04-17,期刊,1047,12143
1192,人民币汇率变动对我国通货膨胀的影响：汇率传递视角的研究,刘亚 李伟平 杨宇俊,金融研究,2008-02-18,期刊,250,6943
1193,中国产业结构调整的效应、优化升级目标和政策措施,何德旭 姚战琪,中国工业经济,2008-05-17,期刊,259,9209
1194,中国城乡收入差距对实际经济增长的阈值效应,王少平 欧阳志刚,中国社会科学,2008-03-10,期刊,225,5274
1195,集体建设用地市场配置的法律问题研究,韩松,中国法学,2008-06-09,期刊,127,2747
1196,制度主导、要素贡献和我国经济增长动力的分类检验,李富强 董直庆 王林辉,经济研究,2008-04-20,期刊,170,4558
1197,关于股改前后现金股利影响因素的实证研究,党红,会计研究,2008-06-15,期刊,201,4455
1198,国有部门与非国有部门工资差异及人力资本贡献,张车伟 薛欣欣,经济研究,2008-04-20,期刊,220,4025
1199,保护市场的联邦主义及其批判,杨其静 聂辉华,经济研究,2008-03-20,期刊,173,3197
1200,区域城市化水平综合测度及其理想动力分析——以江苏省为例,欧向军 甄峰 秦永东 朱灵子 吴泓,地理研究,2008-09-15,期刊,343,3674
1201,企业“扎堆”、技术升级与经济绩效——开发区集聚效应的实证分析,郑江淮 高彦彦 胡小文,经济研究,2008-05-20,期刊,148,4317
1202,生财有道:土地开发和转让中的政府和农民,周飞舟,社会学研究,2007-01-20,期刊,339,6632
1203,官员任期、异地交流与经济增长——来自省级经验的证据,张军 高远,经济研究,2007-11-20,期刊,359,5362
1204,三大历史性变迁的交汇与中国小规模农业的前景,黄宗智 彭玉生,中国社会科学,2007-07-10,期刊,322,8040
1205,经济增长与能源消费内在依从关系的实证研究,赵进文 范继涛,经济研究,2007-08-20,期刊,437,9788
1206,地方官员与经济增长——来自中国省长、省委书记交流的证据,徐现祥 王贤彬 舒元,经济研究,2007-09-20,期刊,342,7780
1207,市场化进程、国企改革策略与公司治理结构的内生决定,夏立军 陈信元,经济研究,2007-07-20,期刊,397,11359
1208,中国出口贸易的技术结构及其变迁:1980—2003,杜修立 王维国,经济研究,2007-07-20,期刊,435,6125
1209,我国商业银行效率结构研究,王聪 谭政勋,经济研究,2007-07-20,期刊,363,8226
1210,内部控制、公司治理、风险管理:关系与整合,谢志华,会计研究,2007-10-15,期刊,772,22193
1211,农村土地流转问题研究,曾超群,湖南农业大学,2010-04-15,博士,101,16794
1212,基于熵权法的科学技术评价模型及其实证研究,章穗 张梅 迟国泰,管理学报,2010-01-15,期刊,205,4854
1213,中国生产性服务贸易结构与贸易竞争力分析,余道先 刘海云,世界经济研究,2010-02-25,期刊,105,3410
1214,上市公司内部控制审计若干问题之探讨——兼论我国内部控制鉴证指引的制定,李明辉 张艳,审计与经济研究,2010-03-10,期刊,106,4901
1215,发展循环经济的低碳综合集成模式,徐玖平 李斌,中国人口·资源与环境,2010-03-15,期刊,67,2209
1216,基于DEA理论的中国区域环境效率分析,王俊能 许振成 胡习邦 彭晓春 周杨,中国环境科学,2010-04-20,期刊,108,2255
1217,我国东中西部地区间工业产业转移的趋势、特征及形成原因分析,冯根福 刘志勇 蒋文定,当代经济科学,2010-03-15,期刊,153,4970
1218,中国能源效率与其影响因素的动态关系研究,谭忠富 张金良,中国人口·资源与环境,2010-04-15,期刊,78,1748
1219,中国农业全要素生产率增长:技术推进抑或效率驱动——一项基于随机前沿生产函数的行业比较研究,李谷成 冯中朝,农业技术经济,2010-05-26,期刊,94,1954
1220,制度对中国地区间出口差异的影响:来自中国省际层面4分位行业的经验证据,张杰 李勇 刘志彪,世界经济,2010-02-10,期刊,46,1919
1221,社会信任对劳动力流动的影响——中国农村整合型社会资本的作用及其地区差异,高虹 陆铭,中国农村经济,2010-03-30,期刊,46,2620
1222,农户多目标种植决策模型与目标权重的估计,刘莹 黄季焜,经济研究,2010-01-20,期刊,45,2920
1223,政府会计与企业会计:概念框架差异与启示——基于IPSASB与IASB最新研究成果的分析,张娟,会计研究,2010-03-15,期刊,44,2697
1224,美国金融消费者保护的经验教训,刘贵生 孙天琦 张晓东,金融研究,2010-01-25,期刊,55,2886
1225,短期国际资本流动、汇率与资产价格——基于汇改后数据的实证研究,朱孟楠 刘林,财贸经济,2010-05-10,期刊,108,2361
1226,近30年来三江源地区土地覆被与宏观生态变化特征,邵全琴 赵志平 刘纪远 樊江文,地理研究,2010-08-15,期刊,47,1381
1227,国际金融危机下人民币汇率与股价联动关系研究,周虎群 李育林,国际金融研究,2010-08-12,期刊,64,2718
1228,R&D活动、创新专利对企业价值的影响——来自中国上市公司的研究,徐欣 唐清泉,研究与发展管理,2010-08-15,期刊,115,2472
1229,人民币汇率与中美贸易不平衡问题——基于HS分类商品的实证研究,黄万阳 王维国,数量经济技术经济研究,2010-07-05,期刊,35,1343
1230,休闲城市评价指标体系及其实证研究,曹新向 苗长虹 陈玉英 王伟红,地理研究,2010-09-15,期刊,36,1762
1231,农信社改革对改善金融支农的政策效应评估——基于全国农户调查面板数据的倍差法分析,赵峦 孙文凯,金融研究,2010-03-25,期刊,45,3102
1232,转型期中国城镇居民住房类型分化及其影响因素——基于CGSS(2005)的分析,刘望保 闫小培 曹小曙,地理学报,2010-08-15,期刊,29,2001
1233,碳金融市场:全球形势、发展前景及中国战略,王遥 刘倩,国际金融研究,2010-09-12,期刊,58,3074
1234,我国城乡居民家庭贫困脆弱性的测度与分解——基于CHNS微观数据的实证研究,李丽 白雪梅,数量经济技术经济研究,2010-08-05,期刊,36,1784
1235,中国工业部门能耗碳排放分解与低碳策略研究,董军 张旭,资源科学,2010-10-15,期刊,71,1695
1236,中国农地适度规模经营问题研究综述,许庆 尹荣梁,中国土地科学,2010-04-15,期刊,87,3724
1237,市场导向、战略柔性与企业绩效:环境不确定性的调节效应,杨智 邓炼金 方二,中国软科学,2010-09-28,期刊,67,2071
1238,城市议题与社会复合主体的联合治理——对杭州3种城市治理实践的组织分析,张兆曙,管理世界,2010-02-15,期刊,62,2035
1239,行业薪酬基准与管理者薪酬增长——基于中国上市公司的实证分析,江伟,金融研究,2010-04-25,期刊,48,1720
1240,两层双渠道供应链的定价问题,许传永 苟清龙 周垂日 梁樑,系统工程理论与实践,2010-10-15,期刊,92,1787
1241,人民币实际有效汇率的长期决定:1994～2009,黄昌利,金融研究,2010-05-25,期刊,41,2126
1242,我国企业社会责任报告鉴证的现状及评价,沈洪涛 万拓 杨思琴,审计与经济研究,2010-11-10,期刊,98,2748
1243,人力资本、社会资本与心理资本对工作绩效的影响——总效应、效应差异及调节因素,柯江林 孙健敏 石金涛 顾琴轩,管理工程学报,2010-10-15,期刊,119,5341
1244,人民币实际有效汇率变动对中国进出口贸易的影响——基于1995-2009年季度数据的实证研究,黄锦明,国际贸易问题,2010-09-15,期刊,73,3563
1245,新型农村社会养老保险基金收支平衡模拟与预测——基于制度风险参数优化的视角,封铁英 李梦伊,公共管理学报,2010-10-20,期刊,42,2042
1246,新创企业市场导向对绩效的影响——资源整合的中介作用,蔡莉 单标安 周立媛,中国工业经济,2010-11-17,期刊,38,1530
1247,中国流动人口的就业特征及其影响因素——与留守人口的比较研究,宋健,人口研究,2010-11-29,期刊,41,1714
1248,中国建设用地增长驱动力研究,陈春 冯长春,中国人口.资源与环境,2010-10-15,期刊,65,1121
1249,低碳旅游:旅游产业生态化的战略选择,明庆忠 陈英 李庆雷,人文地理,2010-10-15,期刊,91,3431
1250,中国农业产业化经营组织模式与龙头企业技术效率——来自安徽农业综合开发产业化经营龙头企业的经验证据,万伦来 马娇娇 朱湖根,中国农村经济,2010-10-30,期刊,36,2401
1251,信任水平的测度及其对合作的影响——来自一组实验微观数据的证据,陈叶烽 叶航 汪丁丁,管理世界,2010-04-15,期刊,50,4179
1252,服务业FDI流入与东道国服务贸易出口——基于中国数据的经验研究,王恕立 胡宗彪,国际贸易问题,2010-11-15,期刊,44,2700
1253,企业债券与公司债券的信息有效性实证研究,高强 邹恒甫,金融研究,2010-07-25,期刊,36,2566
1254,会计信息系统规划特征与可信性关系研究,王凡林,会计研究,2010-11-15,期刊,30,2083
1255,市场估值与价值投资策略——基于中国证券市场的经验研究,黄惠平 彭博,会计研究,2010-10-15,期刊,34,3846
1256,全球化与通货膨胀动态机制研究:基于新兴市场国家的经验分析与启示,张成思 李颖,世界经济,2010-11-10,期刊,31,1507
1257,中国发展经验的理论与实用含义——非正规经济实践,黄宗智,开放时代,2010-10-10,期刊,62,1813
1258,产业集聚与企业规模——来自中国的证据,陆毅 李冬娅 方琦璐 陈熹,管理世界,2010-08-15,期刊,56,3132
1259,中国出口退税政策的决策和形成机制——基于产品层面的政治经济学分析,王孝松 谢申祥,经济研究,2010-10-20,期刊,25,2337
1260,经济增长中的最优税收与公共支出结构,金戈,经济研究,2010-11-20,期刊,24,2875
1261,制造企业如何获得服务创新的知识?——服务中介机构的作用,张文红 张骁 翁智明,管理世界,2010-10-15,期刊,36,2229
1262,石油价格冲击与中国的宏观经济:机制、影响与对策,张斌 徐建炜,管理世界,2010-11-15,期刊,40,2107
1263,从退堂权的失而复得看“大跃进”饥荒的成因和教训,文贯中 刘愿,经济学(季刊),2010-04-30,期刊,31,1746
1264,基于DEA的能源效率评价模型研究,吴琦 武春友,管理科学,2009-02-20,期刊,240,5467
1265,私募股权基金文献综述,黄亚玲,国际金融研究,2009-03-12,期刊,98,8080
1266,“三驾马车”的拉动作用评估,沈利生,数量经济技术经济研究,2009-04-05,期刊,106,2458
1267,生产性服务业的发展对制造业效率的影响——以交易成本和制造成本为中介变量,冯泰文,数量经济技术经济研究,2009-03-05,期刊,180,3553
1268,基于宏观压力测试方法的商业银行体系信用风险评估,华晓龙,数量经济技术经济研究,2009-04-05,期刊,124,2426
1269,中国地区研发创新的相对效率与全要素生产率增长分解,白俊红 江可申 李婧,数量经济技术经济研究,2009-03-05,期刊,126,2445
1270,智力资本驱动企业绩效的有效性研究——基于制造业、信息技术业和房地产业的实证分析,卢馨 黄顺,会计研究,2009-02-15,期刊,140,3372
1271,审计意见、制度环境与融资约束——来自我国上市公司的实证分析,王少飞 孙铮 张旭,审计研究,2009-03-28,期刊,155,2992
1272,分工、控制权配置与内部控制效率研究,林钟高 徐虹,会计研究,2009-03-15,期刊,106,3216
1273,技术进步、产业结构变动对我国就业效应的经验研究,朱轶 熊思敏,数量经济技术经济研究,2009-05-05,期刊,106,2794
1274,中国人口结构变动对农村居民消费的影响研究,李春琦 张杰平,中国人口科学,2009-08-01,期刊,105,2858
1275,消费者对安全农产品的认知能力及其影响因素——基于北京市城镇消费者有机农产品消费行为的实证分析,马骥 秦富,中国农村经济,2009-05-30,期刊,139,2743
1276,基于景观安全格局分析的生态用地研究——以北京市东三乡为例,俞孔坚 乔青 李迪华 袁弘 王思思,应用生态学报,2009-08-15,期刊,128,3575
1277,集聚经济与劳动生产率:基于中国城市面板数据的实证研究,刘修岩,数量经济技术经济研究,2009-07-05,期刊,121,2189
1278,贸易开放、人力资本与中国全要素生产率——基于分位数回归方法的经验研究,魏下海,数量经济技术经济研究,2009-07-05,期刊,93,3057
1279,中国三大市场分割程度的比较分析:时间走势与区域差异,赵奇伟 熊性美,世界经济,2009-06-10,期刊,99,1793
1280,信贷市场信息不对称的实证研究——来自中国国有商业银行的证据,平新乔 杨慕云,金融研究,2009-03-25,期刊,76,3461
1281,再探案例研究的规范性问题——中国企业管理案例论坛(2008)综述与范文分析,潘绵臻 毛基业,管理世界,2009-02-15,期刊,114,7167
1282,再售期权、通胀幻觉与中国股市泡沫的影响因素分析,陈国进 张贻军 王景,经济研究,2009-05-20,期刊,61,3142
1283,股票价格与汇率之间的动态关系——基于中国市场的经验分析,巴曙松 严敏,南开经济研究,2009-06-22,期刊,151,2507
1284,可持续生计分析框架下西部贫困退耕山区农户生计状况分析,黎洁 李亚莉 邰秀军 李聪,中国农村观察,2009-09-21,期刊,135,2536
1285,多元化程度与内部资本市场效率——基于分部数据的多案例研究,王峰娟 邹存良,管理世界,2009-04-15,期刊,134,4400
1286,市场潜力的边界效应与内外部市场一体化,赵永亮 才国伟,经济研究,2009-07-20,期刊,64,2712
1287,高管持股、高管的私有收益与公司的并购行为,李善民 毛雅娟 赵晶晶,管理科学,2009-12-20,期刊,130,2411
1288,审计质量的双维研究范式及其述评,陈俊 韩洪灵 陈汉文,会计研究,2009-12-15,期刊,52,2351
1289,中央财政转移支付与地区经济增长,郭庆旺 贾俊雪 高立,世界经济,2009-12-10,期刊,59,3055
1290,超集群学习与集群企业转型成长——基于浙江卡森的案例研究,邬爱其,管理世界,2009-08-15,期刊,62,2788
1291,浙江省中小企业转型升级调查报告,吴家曦 李华燊,管理世界,2009-08-15,期刊,189,4768
1292,反哺农业的产业组织与市场组织——基于农产品价值链的分析,洪银兴 郑江淮,管理世界,2009-05-15,期刊,87,2893
1293,我国上市公司股权结构对现金股利政策的影响——基于股权分置改革前后的实证研究,许文彬 刘猛,中国工业经济,2009-12-17,期刊,54,3136
1294,市场势力与规模效应的直接测度——运用新产业组织实证方法对中国钢铁产业的研究,陈甬军 周末,中国工业经济,2009-11-17,期刊,70,2151
1295,中国IPO中的机构投资者配售、锁定制度研究,邵新建 巫和懋,管理世界,2009-10-15,期刊,64,2408
1296,中小企业信贷融资信用担保缺失研究,李毅 向党,金融研究,2008-12-25,期刊,97,4077
1297,准纵向一体化、关系治理与合约履行——以农业产业化经营的温氏模式为例,万俊毅,管理世界,2008-12-15,期刊,127,3577
1298,资源型经济的形成:自强机制与个案研究,张复明 景普秋,中国社会科学,2008-09-10,期刊,130,2400
1299,企业内部薪酬差距对组织未来绩效影响的实证研究,张正堂,会计研究,2008-09-15,期刊,329,5193
1300,股权分置改革、高股利分配与投资者利益保护——基于驰宏锌锗的案例研究,周县华 吕长江,会计研究,2008-08-15,期刊,144,4594
1301,高管人员股权激励与投资决策关系的实证研究,罗富碧 冉茂盛 杜家廷,会计研究,2008-08-15,期刊,212,5357
1302,金融发展、债务融资约束与金字塔结构——来自民营企业集团的证据,李增泉 辛显刚 于旭辉,管理世界,2008-01-15,期刊,304,6900
1303,从分割到融合:城乡经济增长与社会和谐的政治经济学,陈钊 陆铭,经济研究,2008-01-20,期刊,246,4737
1304,宏观调控与房地产上市公司资本结构调整,赵冬青 朱武祥 王正位,金融研究,2008-09-18,期刊,122,3885
1305,我国初次分配中的两极分化及成因,徐现祥 王海港,经济研究,2008-02-20,期刊,165,3916
1306,社会资本、先前经验与创业机会——一个交互效应模型及其启示,张玉利 杨俊 任兵,管理世界,2008-07-15,期刊,206,5590
1307,企业家人口背景特征与多元化战略选择——基于中国上市公司面板数据的实证研究,陈传明 孙俊华,管理世界,2008-05-15,期刊,264,5012
1308,中国制造业空间结构变动及其对区域分工的影响,陈秀山 徐瑛,经济研究,2008-10-20,期刊,93,3247
1309,企业异质性、贸易成本与中国出口增长的二元边际,钱学锋,管理世界,2008-09-15,期刊,206,4526
1310,内部人所有权与企业价值——对中国民营上市公司的研究,李新春 杨学儒 姜岳新 胡晓红,经济研究,2008-11-20,期刊,89,3645
1311,民营企业的政治资源与民营企业多元化投资——以中国民营企业500强为例,胡旭阳 史晋川,中国工业经济,2008-04-17,期刊,344,4477
1312,公司治理、财务状况与信息披露质量——来自深交所的经验证据,王斌 梁欣欣,会计研究,2008-02-15,期刊,445,7328
1313,国家控股对会计稳健性的影响研究,朱茶芬 李志文,会计研究,2008-05-15,期刊,344,4369
1314,辖区间竞争、策略性财政政策与FDI增长绩效的区域特征,李永友 沈坤荣,经济研究,2008-05-20,期刊,171,3642
1315,管理层权力、在职消费与产权效率——来自中国上市公司的证据,卢锐 魏明海 黎文靖,南开管理评论,2008-10-08,期刊,505,5623
1316,中国城市群紧凑度的综合测度分析,方创琳 祁巍锋 宋吉涛,地理学报,2008-10-15,期刊,154,3916
1317,FDI技术溢出渠道与中国制造业生产率增长研究:基于面板数据的分析,邱斌 杨帅 辛培江,世界经济,2008-08-10,期刊,209,3373
1318,所有制、制度环境与信贷资金配置,方军雄,经济研究,2007-12-20,期刊,402,4404
1319,中国房地产价格波动区域差异的实证分析,梁云芳 高铁梅,经济研究,2007-08-20,期刊,640,16402
1320,我国承接国际服务外包问题研究,卢锋,经济研究,2007-09-20,期刊,261,8541
1321,中国高储蓄率问题探究——1992—2003年中国资金流量表的分析,李扬 殷剑峰,经济研究,2007-06-20,期刊,461,8342
1322,企业集团、政府控制与投资效率,辛清泉 郑国坚 杨德明,金融研究,2007-09-25,期刊,247,5524
1323,公司治理与公司透明度,高雷 宋顺林,金融研究,2007-11-25,期刊,213,4221
1324,发展低碳经济的公共政策研究,邢继俊,华中科技大学,2009-05-01,博士,164,23320
1325,突发事件网络舆情政府治理研究,马荔,北京邮电大学,2010-05-01,博士,99,11152
1326,上市公司内部控制评价研究,张黎焱,财政部财政科学研究所,2010-07-09,博士,87,15680
1327,我国食品安全监管体系研究,刘录民,西北农林科技大学,2009-06-01,博士,152,20215
1328,基于粗糙集的指标体系构建及综合评价方法研究,李远远,武汉理工大学,2009-04-28,博士,171,9948
1329,中国新型农村社会养老保险长效供给研究,刘迪平,苏州大学,2010-03-01,博士,108,5419
1330,我国新型农民培训模式研究,张亮,河北农业大学,2010-06-06,博士,93,5363
1331,我国民间借贷发展研究,王春宇,哈尔滨商业大学,2010-05-10,博士,90,12868
1332,新浪微博的发展研究,郑雅真,北京交通大学,2010-06-01,硕士,149,17104
1333,高管团队组成特征与行为整合关系研究,姚振华 孙海法,南开管理评论,2010-02-08,期刊,75,2974
1334,基于IPA评价的会展旅游特征感知实证研究:以上海为例,谢丽佳 郭英之,旅游学刊,2010-03-06,期刊,61,3957
1335,新—新贸易理论文献综述,李春顶,世界经济文汇,2010-02-05,期刊,77,3900
1336,国际银行监管改革对我国银行业的影响,王兆星,国际金融研究,2010-03-12,期刊,88,2543
1337,以农民专业合作社为基础的资金互助制度分析,夏英 宋彦峰 濮梦琪,农业经济问题,2010-04-23,期刊,105,1794
1338,契约制度与产业集聚:基于中国的理论及经验研究,王永进 李坤望 盛丹,世界经济,2010-01-10,期刊,46,2131
1339,退耕还林政策对农户生计的影响研究——基于家庭结构视角的可持续生计分析,李树茁 梁义成 MARCUS W.FELDMAN GRETCHEN C.DAILY,公共管理学报,2010-04-20,期刊,74,2123
